customer_id,tenure_months,contract_type,monthly_charges,total_charges,num_support_tickets,has_tech_support,has_online_security,internet_service,payment_method,paperless_billing,senior_citizen,partner,dependents,num_additional_services,avg_monthly_usage_gb,churn
CUST-000000,38,Two year,150.0,5536.48,3,1,0,Fiber optic,Credit card (automatic),1,0,0,1,2,82.6,0
CUST-000001,51,Month-to-month,57.01,2922.26,3,1,1,Fiber optic,Credit card (automatic),1,0,0,0,3,109.4,0
CUST-000002,33,Month-to-month,132.45,4486.65,0,0,1,No,Credit card (automatic),0,0,0,1,4,209.6,0
CUST-000003,30,One year,41.22,1197.49,9,1,0,No,Credit card (automatic),1,0,1,0,5,44.6,1
CUST-000004,55,Month-to-month,121.78,7474.94,1,1,1,Fiber optic,Bank transfer (automatic),0,1,1,1,3,115.2,1
CUST-000005,32,One year,85.69,2533.33,2,0,1,No,Credit card (automatic),0,0,0,0,4,138.2,0
CUST-000006,42,Month-to-month,67.26,2619.68,3,0,0,Fiber optic,Credit card (automatic),1,0,1,0,5,83.4,0
CUST-000007,39,Month-to-month,79.99,2870.15,0,0,0,DSL,Bank transfer (automatic),1,0,1,0,5,59.6,0
CUST-000008,55,Month-to-month,52.6,2893.56,0,0,0,No,Electronic check,1,1,0,1,2,198.4,0
CUST-000009,26,Month-to-month,96.87,2578.18,0,1,0,Fiber optic,Electronic check,1,1,0,0,3,184.4,0
CUST-000010,68,Month-to-month,93.7,6266.32,1,1,0,Fiber optic,Credit card (automatic),1,0,1,0,3,102.5,0
CUST-000011,21,Month-to-month,81.27,1746.77,5,1,1,Fiber optic,Credit card (automatic),0,0,0,1,0,159.4,0
CUST-000012,44,Month-to-month,54.19,2438.79,2,0,0,No,Electronic check,0,0,0,0,4,51.9,0
CUST-000013,41,One year,98.52,3966.46,2,0,0,Fiber optic,Credit card (automatic),1,0,0,0,5,129.3,0
CUST-000014,20,Month-to-month,42.4,866.12,1,0,1,No,Electronic check,1,0,0,1,0,151.9,1
CUST-000015,47,One year,43.35,2017.44,1,0,1,DSL,Mailed check,1,0,1,0,3,264.1,0
CUST-000016,27,One year,88.87,2350.42,0,1,0,No,Credit card (automatic),0,1,0,0,2,168.1,0
CUST-000017,15,Month-to-month,100.71,1473.0,2,1,1,Fiber optic,Credit card (automatic),1,0,0,1,2,68.2,1
CUST-000018,51,Month-to-month,57.33,2957.9,1,0,1,Fiber optic,Bank transfer (automatic),1,1,0,0,1,319.6,0
CUST-000019,10,One year,39.92,423.51,3,0,0,No,Credit card (automatic),1,0,0,0,2,20.4,0
CUST-000020,17,Two year,15.0,239.64,7,0,0,DSL,Credit card (automatic),1,0,0,0,3,233.4,0
CUST-000021,33,Month-to-month,87.74,2825.89,0,0,0,DSL,Credit card (automatic),1,0,1,1,4,147.6,0
CUST-000022,55,Two year,82.21,4558.33,0,0,1,No,Credit card (automatic),1,0,1,1,1,116.4,0
CUST-000023,49,Month-to-month,37.78,2013.84,0,1,0,No,Mailed check,1,0,1,0,0,61.3,0
CUST-000024,37,Month-to-month,106.24,4015.73,2,1,0,Fiber optic,Electronic check,1,0,1,0,5,76.1,1
CUST-000025,7,Month-to-month,139.64,937.76,4,1,0,Fiber optic,Electronic check,1,1,1,0,2,115.6,1
CUST-000026,20,Month-to-month,26.52,505.9,1,1,0,DSL,Electronic check,0,0,0,0,0,25.9,0
CUST-000027,24,Month-to-month,74.62,1879.09,2,1,0,Fiber optic,Electronic check,1,1,0,0,2,77.6,1
CUST-000028,14,Month-to-month,50.97,702.39,1,1,0,Fiber optic,Electronic check,0,0,0,0,1,153.7,0
CUST-000029,5,Month-to-month,88.71,416.25,1,1,0,No,Electronic check,0,0,0,1,1,79.3,1
CUST-000030,34,One year,87.6,3129.38,3,0,1,Fiber optic,Bank transfer (automatic),0,0,0,1,0,212.9,0
CUST-000031,50,Month-to-month,80.05,4064.18,0,0,0,Fiber optic,Electronic check,1,0,0,1,5,142.3,0
