customer_id,tenure_months,contract_type,monthly_charges,total_charges,num_support_tickets,has_tech_support,has_online_security,internet_service,payment_method,paperless_billing,senior_citizen,partner,dependents,num_additional_services,avg_monthly_usage_gb,churn
7590-VHVEG,1,Month-to-month,29.85,29.85,4,0,0,DSL,Electronic check,1,0,1,0,1,58.1,0
5575-GNVDE,34,One year,56.95,1889.5,1,0,1,DSL,Mailed check,0,0,0,0,2,111.1,0
3668-QPYBK,2,Month-to-month,53.85,108.15,3,0,1,DSL,Mailed check,1,0,0,0,2,132.1,1
7795-CFOCW,45,One year,42.3,1840.75,0,1,1,DSL,Bank transfer (automatic),0,0,0,0,3,78.5,0
9237-HQITU,2,Month-to-month,70.7,151.65,5,0,0,Fiber optic,Electronic check,1,0,0,0,0,113.3,1
9305-CDSKC,8,Month-to-month,99.65,820.5,3,0,0,Fiber optic,Electronic check,1,0,0,0,3,239.8,1
1452-KIOVK,22,Month-to-month,89.1,1949.4,1,0,0,Fiber optic,Credit card (automatic),1,0,0,1,2,221.1,0
6713-OKOMC,10,Month-to-month,29.75,301.9,0,0,1,DSL,Mailed check,0,0,0,0,1,68.6,0
7892-POOKP,28,Month-to-month,104.8,3046.05,2,1,0,Fiber optic,Electronic check,1,0,1,0,4,292.1,1
6388-TABGU,62,One year,56.15,3487.95,1,0,1,DSL,Bank transfer (automatic),0,0,0,1,2,108.9,0
9763-GRSKD,13,Month-to-month,49.95,587.45,1,0,1,DSL,Mailed check,1,0,1,1,1,93.3,0
7469-LKBCI,16,Two year,18.95,326.8,0,0,0,No,Credit card (automatic),0,0,0,0,0,31.8,0
8091-TTVAX,58,One year,100.35,5681.1,2,0,0,Fiber optic,Credit card (automatic),0,0,1,0,3,263.1,0
0280-XJGEX,49,Month-to-month,103.7,5036.3,1,0,0,Fiber optic,Bank transfer (automatic),1,0,0,0,4,218.7,1
5129-JLPIS,25,Month-to-month,105.5,2686.05,1,1,1,Fiber optic,Electronic check,1,0,0,0,5,299.1,0
3655-SNQYZ,69,Two year,113.25,7895.15,0,1,1,Fiber optic,Credit card (automatic),0,0,1,1,6,303.2,0
8191-XWSZG,52,One year,20.65,1022.95,5,0,0,No,Mailed check,0,0,0,0,0,38.1,0
9959-WOFKT,71,Two year,106.7,7382.25,3,0,1,Fiber optic,Bank transfer (automatic),0,0,0,1,4,237.3,0
4190-MFLUW,10,Month-to-month,55.2,528.35,1,1,0,DSL,Credit card (automatic),0,0,1,1,2,95.4,1
4183-MYFRB,21,Month-to-month,90.05,1862.9,2,0,0,Fiber optic,Electronic check,1,0,0,0,3,184.8,0
